iter	Passed	Remaining
418	3175	4403
419	3190	4405
420	3193	4391
421	3205	4390
422	3208	4376
423	3211	4362
424	3220	4357
425	3223	4343
426	3235	4342
427	3251	4345
428	3266	4348
429	3269	4334
430	3272	4320
431	3275	4306
432	3278	4292
433	3280	4278
434	3296	4281
435	3312	4284
436	3345	4309
437	3358	4309
438	3361	4295
439	3364	4281
440	3374	4276
441	3376	4263
442	3379	4249
443	3389	4245
444	3404	4246
445	3407	4232
446	3410	4219
447	3413	4206
448	3416	4192
449	3419	4178
450	3435	4181
451	3450	4183
452	3453	4169
453	3455	4156
454	3466	4151
455	3468	4138
456	3481	4136
457	3496	4138
458	3499	4124
459	3502	4111
460	3505	4098
461	3512	4090
462	3515	4077
463	3518	4064
464	3524	4054
465	3527	4042
466	3540	4040
467	3556	4042
468	3558	4029
469	3572	4028
470	3575	4015
471	3587	4012
472	3602	4014
473	3635	4034
474	3638	4021
475	3650	4018
476	3653	4006
477	3664	4002
478	3667	3989
479	3679	3986
480	3682	3973
481	3710	3987
482	3713	3974
483	3716	3962
484	3727	3957
485	3730	3945
486	3733	3932
487	3736	3920
488	3739	3907
489	3790	3945
490	3794	3933
491	3797	3920
492	3805	3914
493	3828	3921
494	3831	3908
495	3835	3897
496	3838	3885
497	3857	3888
498	3873	3889
499	3889	3889
500	3892	3876
501	3904	3873
502	3907	3860
503	3919	3856
504	3922	3844
505	3925	3832
506	3928	3819
507	3936	3812
508	3965	3825
509	3968	3812
510	3971	3800
511	3981	3794
512	3997	3794
513	4012	3794
514	4019	3785
515	4022	3773
516	4026	3761
517	4034	3753
518	4066	3768
519	4069	3756
520	4072	3743
521	4074	3731
522	4077	3718
523	4097	3721
524	4112	3720
525	4114	3708
526	4117	3695
527	4120	3683
528	4122	3670
529	4125	3658
530	4143	3659
531	4158	3658
532	4161	3646
533	4164	3634
534	4189	3640
535	4204	3639
536	4234	3650
537	4238	3639
538	4264	3647
539	4296	3660
540	4299	3648
541	4311	3643
542	4327	3642
543	4342	3640
544	4345	3627
545	4358	3623
546	4365	3615
547	4369	3603
548	4371	3591
549	4374	3579
550	4378	3567
551	4381	3555
552	4396	3553
553	4399	3541
554	4411	3537
555	4427	3535
556	4459	3546
557	4475	3545
558	4478	3532
559	4480	3520
560	4483	3508
561	4486	3496
562	4491	3486
563	4506	3483
564	4509	3471
565	4512	3460
566	4515	3448
567	4521	3439
568	4524	3427
569	4527	3415
570	4555	3422
571	4559	3411
572	4562	3399
573	4565	3387
574	4567	3376
575	4570	3364
576	4585	3361
577	4587	3349
578	4590	3337
579	4601	3332
580	4604	3320
581	4617	3316
582	4619	3304
583	4622	3292
584	4625	3280
585	4632	3272
586	4635	3261
587	4637	3249
588	4640	3238
589	4648	3230
590	4680	3239
591	4685	3229
592	4694	3221
593	4709	3218
594	4724	3216
595	4728	3205
596	4731	3193
597	4734	3182
598	4736	3171
599	4739	3159
600	4753	3156
601	4756	3144
602	4769	3140
603	4772	3128
604	4784	3123
605	4800	3121
606	4803	3109
607	4806	3098
608	4809	3087
609	4811	3076
610	4831	3076
611	4847	3073
612	4849	3061
613	4852	3050
614	4854	3039
615	4857	3028
616	4860	3017
617	4878	3015
618	4881	3004
619	4893	2999
620	4909	2996
621	4912	2985
622	4915	2974
623	4925	2968
624	4957	2974
625	4960	2963
626	4963	2952
627	4966	2941
628	4972	2932
629	4975	2922
630	4978	2911
631	4980	2900
632	4983	2889
633	5003	2888
634	5019	2885
635	5022	2874
636	5050	2878
637	5053	2867
638	5057	2857
639	5083	2859
640	5085	2848
641	5088	2837
642	5091	2827
643	5097	2817
644	5100	2807
645	5103	2796
646	5107	2786
647	5113	2777
648	5116	2767
649	5119	2756
650	5122	2746
651	5126	2735
652	5145	2734
653	5147	2723
654	5176	2726
655	5179	2715
656	5181	2705
657	5192	2698
658	5206	2694
659	5222	2690
660	5224	2679
661	5227	2669
662	5238	2662
663	5241	2652
664	5254	2646
665	5270	2642
666	5273	2632
667	5284	2626
668	5301	2622
669	5304	2612
670	5306	2602
671	5315	2594
672	5317	2583
673	5320	2573
674	5331	2566
675	5346	2562
676	5348	2551
677	5351	2541
678	5354	2531
679	5356	2520
680	5361	2511
681	5376	2507
682	5392	2502
683	5406	2497
684	5422	2493
685	5425	2483
686	5438	2477
687	5440	2467
688	5454	2461
689	5469	2457
690	5484	2452
691	5500	2448
692	5503	2438
693	5506	2427
694	5515	2420
695	5530	2415
696	5533	2405
697	5545	2399
698	5577	2401
699	5580	2391
700	5582	2381
701	5592	2373
702	5595	2363
703	5607	2357
704	5610	2347
705	5613	2337
706	5616	2327
707	5618	2317
708	5622	2307
709	5625	2297
710	5639	2292
711	5655	2287
712	5671	2282
713	5674	2272
714	5687	2266
715	5690	2257
716	5734	2263
717	5751	2258
718	5754	2248
719	5766	2242
720	5770	2232
721	5782	2226
722	5797	2221
723	5801	2211
724	5803	2201
725	5813	2194
726	5817	2184
727	5828	2177
728	5832	2168
729	5860	2167
730	5876	2162
731	5879	2152
732	5892	2146
733	5908	2141
734	5924	2136
735	5927	2126
736	5939	2119
737	5942	2109
738	5945	2099
739	5956	2092
740	5959	2082
741	5972	2076
742	5975	2066
743	5978	2057
744	5987	2049
745	6003	2044
746	6034	2043
747	6037	2033
748	6066	2033
749	6069	2023
750	6098	2022
751	6102	2012
752	6104	2002
753	6107	1992
754	6113	1983
755	6116	1974
756	6130	1967
757	6146	1962
758	6149	1952
759	6151	1942
760	6161	1935
761	6164	1925
762	6193	1923
763	6209	1918
764	6213	1908
765	6216	1898
766	6225	1891
767	6241	1885
768	6244	1875
769	6247	1866
770	6249	1856
771	6257	1847
772	6259	1838
773	6272	1831
774	6275	1821
775	6278	1812
776	6281	1802
777	6283	1792
778	6286	1783
779	6288	1773
780	6304	1767
781	6307	1758
782	6309	1748
783	6312	1739
784	6319	1730
785	6322	1721
786	6336	1714
787	6338	1705
788	6352	1698
789	6354	1689
790	6357	1679
791	6367	1672
792	6383	1666
793	6399	1660
794	6414	1654
795	6417	1644
796	6429	1637
797	6461	1635
798	6476	1629
799	6491	1622
800	6494	1613
801	6507	1606
802	6522	1600
803	6525	1590
804	6538	1583
805	6541	1574
806	6553	1567
807	6556	1557
808	6559	1548
809	6561	1539
810	6564	1529
811	6566	1520
812	6585	1514
813	6589	1505
814	6599	1498
815	6615	1491
816	6631	1485
817	6647	1479
818	6650	1469
819	6652	1460
820	6655	1450
821	6662	1442
822	6665	1433
823	6677	1426
824	6680	1417
825	6682	1407
826	6692	1400
827	6723	1396
828	6738	1389
829	6741	1380
830	6754	1373
831	6787	1370
832	6790	1361
833	6793	1352
834	6796	1342
835	6800	1334
836	6803	1324
837	6832	1320
838	6834	1311
839	6847	1304
840	6850	1295
841	6863	1287
842	6879	1281
843	6894	1274
844	6896	1265
845	6909	1257
846	6924	1250
847	6927	1241
848	6930	1232
849	6940	1224
850	6943	1215
851	6956	1208
852	6958	1199
853	6971	1191
854	6973	1182
855	6987	1175
856	7002	1168
857	7004	1159
858	7016	1151
859	7032	1144
860	7034	1135
861	7048	1128
862	7063	1121
863	7078	1114
864	7081	1105
865	7084	1096
866	7086	1087
867	7094	1078
868	7109	1071
869	7112	1062
870	7125	1055
871	7141	1048
872	7143	1039
873	7156	1031
874	7158	1022
875	7161	1013
876	7172	1005
877	7175	997
878	7187	989
879	7190	980
880	7203	972
881	7233	967
882	7248	960
883	7251	951
884	7264	943
885	7279	936
886	7282	927
887	7285	918
888	7294	910
889	7310	903
890	7340	897
891	7356	890
892	7358	881
893	7361	872
894	7372	864
895	7375	856
896	7386	848
897	7402	840
898	7405	831
899	7417	824
900	7420	815
901	7433	807
902	7436	798
903	7464	792
904	7480	785
905	7511	779
906	7527	771
907	7542	764
908	7557	756
909	7573	749
910	7576	740
911	7578	731
912	7588	723
913	7591	714
914	7618	707
915	7633	700
916	7636	691
917	7649	683
918	7665	675
919	7667	666
920	7680	658
921	7696	651
922	7711	643
923	7714	634
924	7727	626
925	7742	618
926	7745	609
927	7747	601
928	7757	592
929	7773	585
930	7789	577
931	7791	568
932	7794	559
933	7796	550
934	7803	542
935	7805	533
936	7818	525
937	7835	517
938	7837	509
939	7849	501
940	7865	493
941	7880	485
942	7883	476
943	7886	467
944	7888	459
945	7891	450
946	7893	441
947	7896	433
948	7898	424
949	7901	415
950	7904	407
951	7911	398
952	7926	390
953	7929	382
954	7932	373
955	7942	365
956	7945	357
957	7958	348
958	7961	340
959	7964	331
960	7966	323
961	7969	314
962	7973	306
963	8006	299
964	8021	290
965	8036	282
966	8039	274
967	8042	265
968	8045	257
969	8052	249
970	8068	240
971	8084	232
972	8087	224
973	8116	216
974	8131	208
975	8134	200
976	8147	191
977	8162	183
978	8165	175
979	8178	166
980	8192	158
981	8195	150
982	8198	141
983	8200	133
984	8203	124
985	8205	116
986	8224	108
987	8227	99
988	8229	91
989	8232	83
990	8239	74
991	8255	66
992	8271	58
993	8286	50
994	8303	41
995	8306	33
996	8308	25
997	8318	16
998	8321	8
999	8323	0
