iter	Logloss
0	0.6726588542
1	0.6544486979
2	0.6399714844
3	0.6231223958
4	0.607059375
5	0.5951494141
6	0.5810174479
7	0.5690186198
8	0.5569932292
9	0.5444095052
10	0.5331016276
11	0.5221494141
12	0.5132069336
13	0.5054416992
14	0.4981764974
15	0.4901094727
16	0.4838374023
17	0.4777035807
18	0.4707051432
19	0.4637753255
20	0.4598682292
21	0.4543220052
22	0.4495085286
23	0.4433065755
24	0.4393089193
25	0.4335138021
26	0.429188737
27	0.4257661784
28	0.420981901
29	0.416785026
30	0.4141084961
31	0.4107317057
32	0.4067166992
33	0.4037480794
34	0.4005922526
35	0.3985242839
36	0.3957723307
37	0.3940633138
38	0.3909196615
39	0.3889563477
40	0.3870804362
41	0.3844858724
42	0.382325
43	0.3807315755
44	0.3790562826
45	0.3768755859
46	0.3750207682
47	0.3737552083
48	0.3724186849
49	0.3709712891
50	0.3696746745
51	0.3683855469
52	0.3668244141
53	0.365758138
54	0.3646374349
55	0.3631775716
56	0.3620242513
57	0.3609197266
58	0.3600671224
59	0.3587827148
60	0.3575814128
61	0.3561775065
62	0.354949349
63	0.3538306641
64	0.3531535482
65	0.3523072266
66	0.3516920573
67	0.3510045573
68	0.3504089518
69	0.3494857747
70	0.3484426758
71	0.347812207
72	0.3468640299
73	0.3464193034
74	0.3458650391
75	0.3452397786
76	0.3445772786
77	0.3442532878
78	0.3438531901
79	0.3433434245
80	0.3428939779
81	0.342394043
82	0.341895931
83	0.3414633464
84	0.3407755534
85	0.3404304362
86	0.3397975911
87	0.3394586914
88	0.338723112
89	0.3383796875
90	0.337808724
91	0.3373859701
92	0.3370485677
93	0.3365517578
94	0.3361536458
95	0.3357876953
96	0.3352757813
97	0.3347214193
98	0.3343464844
99	0.3338264974
100	0.3336130208
101	0.3332059896
102	0.3328651367
103	0.3326038086
104	0.3323273763
105	0.3320625326
106	0.3317730469
107	0.3313661458
108	0.3309176758
109	0.3305873698
110	0.3303067383
111	0.3300298177
112	0.3296905924
113	0.329466276
114	0.3292865885
115	0.32900625
116	0.3287161458
117	0.3285542969
118	0.3283999349
119	0.3282126953
120	0.3280205729
121	0.3277039063
122	0.327528776
123	0.3272166992
124	0.3269171549
125	0.3267467122
126	0.3265054362
127	0.3262781901
128	0.3260352539
129	0.3257549805
130	0.3255961914
131	0.3252963867
132	0.3251511393
133	0.3249025065
134	0.324624349
135	0.3244345052
136	0.3241490234
137	0.3239590495
138	0.3237915365
139	0.3235701823
140	0.3233631185
141	0.3231884115
142	0.3230257812
143	0.3229301758
144	0.3227874349
145	0.322608724
146	0.3224471029
147	0.3222384766
148	0.3221367839
149	0.3218829753
150	0.3217226237
151	0.3214685547
152	0.3212304362
153	0.320989974
154	0.3207087891
155	0.3204933594
156	0.3202993815
157	0.3200584635
158	0.3198408854
159	0.3197189453
160	0.319680957
161	0.3195424154
162	0.3193939779
163	0.3192935872
164	0.3191297526
165	0.3189252279
166	0.3187335937
167	0.3185772135
168	0.3183960612
169	0.3182054687
170	0.31810625
171	0.3178809896
172	0.3177609701
173	0.317651237
174	0.3175391276
175	0.3174070638
176	0.3171476237
177	0.3170155924
178	0.3168882487
179	0.3167514323
180	0.316613737
181	0.316480013
182	0.3162912109
183	0.3162033529
184	0.3160146484
185	0.3158616536
186	0.3156981445
187	0.3154804362
188	0.3153078451
189	0.315172526
190	0.315000651
191	0.3148445964
192	0.3147160156
193	0.3144644857
194	0.3143283529
195	0.3141213542
196	0.313974349
197	0.3138861979
198	0.313711849
199	0.3135136719
200	0.313375
201	0.3131503255
202	0.313084082
203	0.3129752279
204	0.3127769531
205	0.3126014974
206	0.3124584635
207	0.3123313151
208	0.3122388672
209	0.3121466146
210	0.3119925781
211	0.3117372721
212	0.3116578125
213	0.3115538737
214	0.3113452474
215	0.3111363932
216	0.3109792643
217	0.3108704102
218	0.3107829102
219	0.3105917969
220	0.3104696615
221	0.3103597982
222	0.3102333659
223	0.309993457
224	0.3098274414
225	0.3097332682
226	0.3095544271
227	0.3094164062
228	0.3093320964
229	0.3092359375
230	0.3091582682
231	0.3089427734
232	0.3088400391
233	0.3086356771
234	0.3084349609
235	0.3082992839
236	0.3081835937
237	0.3080591471
238	0.307968099
239	0.3077683919
240	0.3076053711
241	0.3073914714
242	0.3072890625
243	0.307175
244	0.3069813802
245	0.3068921875
246	0.306778776
247	0.3066613281
248	0.3066152344
249	0.3063714844
250	0.3062291341
251	0.3061181966
252	0.3060067383
253	0.3059061198
254	0.3058001302
255	0.3056719727
256	0.3054916667
257	0.3053927734
258	0.3052508138
259	0.3051078776
260	0.3049248372
261	0.3048630859
262	0.304744401
263	0.3045990234
264	0.3045767253
265	0.3044529948
266	0.304342513
267	0.3041359375
268	0.3039782227
269	0.3038272135
270	0.3037272461
271	0.3035089193
272	0.3033510417
273	0.3032113281
274	0.3030425781
275	0.3029541016
276	0.3027742187
277	0.3026761068
278	0.3026607096
279	0.3024420247
280	0.3023288411
281	0.3022052734
282	0.3021167643
283	0.3020697266
284	0.3019860352
285	0.3018470378
286	0.3017604818
287	0.3016739909
288	0.3015888021
289	0.3014507487
290	0.3013036784
291	0.3012401693
292	0.3011624349
293	0.3010739583
294	0.3008514323
295	0.3006167643
296	0.3004570964
297	0.3003248047
298	0.3001592448
299	0.3000277344
300	0.2998597005
301	0.2998019531
302	0.2995912435
303	0.2995213542
304	0.2995090169
305	0.2994260091
306	0.2994082357
307	0.2992908203
308	0.2991820638
309	0.2989635417
310	0.298803125
311	0.2986374349
312	0.2985550781
313	0.2984067057
314	0.2983480469
315	0.2982048828
316	0.2980703776
317	0.2979493815
318	0.2978311523
319	0.2977599284
320	0.2976386068
321	0.2975809245
322	0.2974882487
323	0.2973615885
324	0.2972285807
325	0.2971127279
326	0.2970108073
327	0.2969221029
328	0.2968198893
329	0.2966633789
330	0.2965417969
331	0.2964901693
332	0.2964790039
333	0.2964263346
334	0.296250293
335	0.2961350911
336	0.2959572266
337	0.2958204102
338	0.2957529622
339	0.2956121094
340	0.2954985026
341	0.2953951823
342	0.2952639974
343	0.2951086589
344	0.2950024089
345	0.2948638021
346	0.2947395182
347	0.294598763
348	0.2944966146
349	0.2944183594
350	0.2941929036
351	0.2941210286
352	0.2939950521
353	0.2938072591
354	0.2936361328
355	0.2934750651
356	0.2933363281
357	0.2932569661
358	0.2931254883
359	0.2929734701
360	0.2928822917
361	0.292783724
362	0.2926639323
363	0.2925597005
364	0.2924739909
365	0.2923755208
366	0.2921706706
367	0.2920661458
368	0.291942513
369	0.2918753255
370	0.2918203451
371	0.2917007487
372	0.2915689453
373	0.2914939779
374	0.2913473958
375	0.291264681
376	0.2912004883
377	0.2910458659
378	0.290889388
379	0.290784375
380	0.2906438802
381	0.2905373047
382	0.2904927083
383	0.2904210286
384	0.290328125
385	0.2902662435
386	0.2901849284
387	0.2900979167
388	0.2900010091
389	0.2898802734
390	0.2897621094
391	0.2896744466
392	0.2895727865
393	0.2894046549
394	0.2892884115
395	0.2891416992
396	0.2890354818
397	0.2888972005
398	0.288761556
399	0.2886742839
400	0.2885484375
401	0.2885395182
402	0.2884208333
403	0.2882314128
404	0.2880935547
405	0.2879937174
406	0.2878599609
407	0.2877642578
408	0.2876227214
409	0.287465625
410	0.2873559245
411	0.2872549154
412	0.2871272461
413	0.2869657227
414	0.2868231445
415	0.2867084961
416	0.2865149414
417	0.2863939779
418	0.2863208008
419	0.2862220703
420	0.2860938802
421	0.2859921875
422	0.2858583984
423	0.2857610026
424	0.2856904297
425	0.2855760742
426	0.285497819
427	0.2853733073
428	0.2852652018
429	0.2851894531
430	0.2850298503
431	0.2848494466
432	0.2847507161
433	0.2846125326
434	0.2844938802
435	0.2844018229
436	0.2843309245
437	0.2841867839
438	0.2840575195
439	0.2839678711
440	0.2838733398
441	0.2837140625
442	0.2835188802
443	0.2834092448
444	0.2833279297
445	0.2832605794
446	0.2831626953
447	0.2830781901
448	0.2829954102
449	0.2828074219
450	0.2827273763
451	0.2826652344
452	0.2825219401
453	0.2824373047
454	0.2823541667
455	0.2822458984
456	0.282152474
457	0.2819821289
458	0.2818358073
459	0.2817686198
460	0.2816318359
461	0.2815438151
462	0.2814300781
463	0.2813334961
464	0.2812320313
465	0.2810608073
466	0.2809873047
467	0.2808855469
468	0.2808123372
469	0.2807089193
470	0.2805848307
471	0.2804732422
472	0.2803824219
